robot_id	displacement_velocity_hill	head_balance	contacts	displacement_velocity	branching	branching_modules_count	limbs	extremities	length_of_limbs	extensiveness	coverage	joints	hinge_count	active_hinges_count	brick_count	touch_sensor_count	brick_sensor_count	proportion	width	height	absolute_size	sensors	symmetry	avg_period	dev_period	avg_phase_offset	dev_phase_offset	avg_amplitude	dev_amplitude	avg_intra_dev_params	avg_inter_dev_params	sensors_reach	recurrence	synaptic_reception	fitness
1291	0.0378019687234426	0.7306135773687947	0.0	0.03800787265124893	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.0378019687234426
4295	0.04156073569087681	0.9624214736475806	0.0	0.04528301397405629	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.125	0.0	0.04156073569087681
1431	0.03807902471259359	0.7377512974278133	0.0	0.03814321265196735	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.03807902471259359
3211	0.039681393239186825	0.9601535817186637	0.0	0.045302358767322956	0	0	0.08333333333333333	1	1.0	16	1.0	0.9375	16	15	1	1	0	0.05555555555555555	1	18	18	0.2	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8571108518777308	0.9123199206286835	0.89273659033932	1.0	0.0625	0.0	0.039681393239186825
987	0.035928274228133265	0.739304190312754	0.0	0.035956740680869174	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.035928274228133265
2948	0.008660130419663774	0.8404666804032336	0.0	0.01228546286629454	0	0	0.125	1	1.0	10	1.0	1.0	11	10	0	1	0	0.08333333333333333	1	12	12	0.3333333333333333	0	0.4963170109726329	0.8758354707820978	0.8222802041238866	0.8841419290393362	0.5476525330661451	0.8702607561288522	0.9172091827351504	0.8768604462553584	1.0	0.09090909090909091	0.0	0.008660130419663774
18	-0.006987881498147252	0.642977443447746	0.0	0.01318691765516287	0	0	0.2222222222222222	4	0.7916666666666666	19	0.28888888888888886	0.5	16	12	9	2	0	0.2777777777777778	5	18	26	0.1111111111111111	0.2222222222222222	0.7404499306862472	0.8950893918860281	0.36842949086498844	0.8956110891805708	0.58342449977204	0.8965371140948086	0.871059031832515	0.8957473858235009	0.5625	0.3125	0.0	-0.0006987881498147252
3033	-0.0009418586692686479	0.9971788180757075	0.0	0.0014813306659383994	0	0	0.2	2	0.9166666666666666	11	0.5833333333333334	0.8333333333333334	12	10	1	2	0	0.16666666666666666	12	2	14	0.5	0	0.4963170109726329	0.9431823348514594	0.6615046550765503	0.8686538873959954	0.263419534326277	0.8102670069994719	0.9123199206286835	0.8859566188414127	0.5416666666666666	0.08333333333333333	0.0	-9.418586692686479e-05
718	0.011452109069031631	0.7060498381486728	0.0	0.012095501718739009	0	0	0.06666666666666667	1	1.0	20	1.0	1.0	21	20	0	0	0	0.045454545454545456	22	1	22	0.0	0	0.7001627335054665	0.8981463583833841	0.5312194958394302	0.8835084861550512	0.3897716704871731	0.7536521516679869	0.8840690546677257	0.8549157510636417	0	0	0.0	0.011452109069031631
2039	0.0360364232206679	0.7393597911882871	0.0	0.036039921020679926	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.0360364232206679
3940	0.04314600269485991	0.9625228926198122	0.0	0.045317047386004304	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.04314600269485991
3089	0.04301596416863625	0.9624251764360587	0.0	0.04678724085212375	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.125	0.0	0.04301596416863625
2816	0.019336118408991954	0.962536837412983	0.0	0.020539531621141832	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	1	0	0.05555555555555555	1	18	18	0.3333333333333333	0	0.4963170109726329	0.9435717355604568	0.6615046550765503	0.8249489041692428	0.24885831250668092	0.8564928953851937	0.9123199206286835	0.8860623292942602	1.0	0.058823529411764705	0.0	0.019336118408991954
4568	0.04242659053703671	0.96331297562899	0.0	0.04574247572031971	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.04242659053703671
175	-0.001472018000525003	0.5981727129526505	0.0	0.007767287551358428	0	0	0.16666666666666666	2	0.8666666666666667	13	0.22077922077922077	0.7333333333333333	12	11	4	0	0	0.6363636363636364	11	7	17	0.0	0.3333333333333333	0.791094210373358	0.8171361993269317	0.5292003680205342	0.9227747098992555	0.307318951068148	0.8559253082933332	0.9097336418674739	0.872122581396713	0	0	0.0	-0.0001472018000525003
4980	0.04022011233636331	0.9629910966636192	0.0	0.04311419871476566	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.04022011233636331
