robot_id,branching,branching_modules_count,limbs,extremities,length_of_limbs,extensiveness,coverage,joints,hinge_count,active_hinges_count,brick_count,touch_sensor_count,brick_sensor_count,proportion,width,height,absolute_size,sensors,symmetry,avg_period,dev_period,avg_phase_offset,dev_phase_offset,avg_amplitude,dev_amplitude,avg_intra_dev_params,avg_inter_dev_params,sensors_reach,recurrence,synaptic_reception
46,0,0,0.6666666666666666,2,0.0,0,0.6666666666666666,0,1,0,2,0,0,0.6666666666666666,2,3,4,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0.3333333333333333,1,1.0,2,1.0,1.0,3,2,0,0,0,0.25,4,1,4,0.0,0,0.5974832259285452,0.8139618930779191,0.4829152815615081,0.8234035279864247,0.809905035100525,0.948984172146791,0.7149036750919886,0.8786384191113245,0,0,0.0
48,0,0,0.16666666666666666,1,1.0,7,0.75,0.5714285714285714,5,4,3,1,0,0.75,3,4,9,0.1111111111111111,0,0.6648727178586374,0.6898207838135789,0.10791475698200077,0.9312881876456737,0.9854303455425667,0.878544197241989,0.9740556862082126,0.8575247415559265,1.0,0.4,0.0
49,0,0,0.3333333333333333,1,1.0,2,1.0,0,0,0,3,0,0,1.0,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,1.0,0,0,0,0,2,0,1.0,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0.25,1,1.0,4,1.0,0.75,4,3,1,2,0,0.16666666666666666,6,1,6,0.4,0,0.8550662711655678,0.6121306810972282,0.7794475989022758,0.8482071178503962,0.21081783827616266,0.7475535661138055,0.9322189558167325,0.7479101646304587,0.625,0.5,0.0
52,0,0,1.0,1,0,0,1.0,0,1,0,0,1,0,0.5,2,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0.5,1,1.0,1,0.75,0,0,0,2,1,0,1.0,2,2,3,0.125,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,1.0,1,0,0,1.0,0,1,0,0,0,0,0.5,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0.3333333333333333,1,1.0,2,1.0,1.0,3,2,0,0,0,0.25,4,1,4,0.0,0,0.2313447073072878,0.6127937005432367,0.2427079563753353,0.7659187215017629,0.8831184458519268,0.5648803418179724,0.9546121509819052,0.6536578919391499,0,0,0.0
56,0,0,0.2,1,1.0,5,0.5833333333333334,0.6,4,3,2,2,0,0.75,4,3,7,0.2857142857142857,0.4,0.45036489984990896,0.8370321516880851,0.600029774074323,0.8985618398289833,0.3684831122304707,0.7215024139897421,0.8363289718735207,0.8305965017349134,0.625,0.25,0.0
57,0,0,0.3,3,0.6923076923076923,9,0.30612244897959184,0.46153846153846156,6,6,8,8,0,1.0,7,7,15,0.4,0.2,0.8370906971720504,0.7499463167659796,0.39803234258647335,0.9766217303538965,0.8353999030932131,0.9334039238775024,0.9438535946246074,0.9234569092860027,0.16666666666666666,0.8333333333333334,0.0
